,yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary,RBI,GIDP,IBB,TB,SLG,OBP,OPS,WHIP,BABIP,RC,X1B,uBB,wOBA
462,2015,AL,KCA,KCR,C,1,162,81,95,67,Y,N,Y,Y,724,5575,1497,300,42,139,383,973,104,34,77,47,641,601,3.73,2,8,56,4356,1372,155,489,1160,88,138,0.985,Kansas City Royals,Kauffman Stadium,2708549,104,103,KCR,KCA,KCA,112107025,689,133,28,2298,0.412197309,0.321769155,0.733966464,1.281680441,0.301108647,725.1158107,1016,355,0.321369343
463,2015,AL,LAA,ANA,W,3,162,81,85,77,N,N,N,N,661,5417,1331,243,21,176,435,1150,52,34,58,40,675,630,3.94,2,12,46,4322,1355,166,466,1221,93,108,0.984,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3012765,94,95,LAA,ANA,ANA,120005415,621,116,34,2144,0.395791028,0.306554622,0.70234565,1.263998149,0.279593319,647.0102529,891,401,0.308260649
464,2015,NL,LAN,LAD,W,1,162,81,92,70,Y,N,N,N,667,5385,1346,263,26,187,563,1258,59,34,60,30,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133,0.988,Los Angeles Dodgers,Dodger Stadium,3764815,101,98,LAD,LAN,LAN,215792000,638,135,31,2222,0.412627669,0.326101358,0.738729028,1.18422873,0.291939547,713.1469401,870,532,0.325188946
465,2015,NL,MIA,FLA,E,3,162,81,71,91,N,N,N,N,613,5463,1420,236,40,120,375,1150,112,45,39,40,678,638,4.02,0,12,35,4281,1374,141,508,1152,77,162,0.987,Miami Marlins,Marlins Park,1752235,98,97,MIA,FLO,MIA,68056500,575,133,30,2096,0.383671975,0.309954369,0.693626344,1.318850736,0.307110796,644.45358,1024,345,0.304740955
466,2015,NL,MIL,MIL,C,4,162,81,68,94,N,N,N,N,655,5480,1378,274,34,145,412,1299,84,29,41,34,737,682,4.28,1,7,40,4305,1432,176,517,1260,116,164,0.981,Milwaukee Brewers,Miller Park,2542558,101,101,MIL,ML4,MIL,100850000,624,130,35,2155,0.393248175,0.306854366,0.700102541,1.358188153,0.302948403,654.6928038,925,377,0.306888065
467,2015,AL,MIN,MIN,C,2,162,81,83,79,N,N,N,N,696,5467,1349,277,44,156,439,1264,70,38,40,41,700,653,4.07,2,12,45,4329,1506,163,413,1046,86,150,0.986,Minnesota Twins,Target Field,2220054,103,104,MIN,MIN,MIN,107755000,661,133,31,2182,0.399122005,0.305328211,0.704450216,1.32986833,0.291829746,660.5851676,872,408,0.308440228
468,2015,AL,NYA,NYY,E,2,162,81,87,75,N,Y,N,N,764,5567,1397,272,19,212,554,1227,63,25,63,54,698,652,4.03,3,4,48,4373,1416,182,474,1370,93,135,0.985,New York Yankees,Yankee Stadium III,3193795,99,101,NYY,NYA,NYA,212751957,737,105,23,2343,0.420873002,0.322859891,0.743732893,1.296592728,0.283357245,746.8049338,894,531,0.326440869
469,2015,NL,NYN,NYM,E,1,162,81,90,72,Y,N,Y,N,683,5527,1351,295,17,177,488,1290,51,25,68,32,613,557,3.43,1,14,50,4388,1341,152,383,1337,88,131,0.986,New York Mets,Citi Field,2569753,94,92,NYM,NYN,NYN,96766683,654,130,42,2211,0.400036186,0.311856092,0.711892278,1.178669098,0.286901271,675.9815461,862,446,0.312493002
470,2015,AL,OAK,OAK,W,5,162,81,68,94,N,N,N,N,694,5600,1405,277,46,146,475,1119,78,29,40,38,729,664,4.14,5,15,28,4334,1402,172,474,1179,126,154,0.979,Oakland Athletics,O.co Coliseum,1768175,97,98,OAK,OAK,OAK,79053501,661,124,21,2212,0.395,0.312042906,0.707042906,1.298569451,0.287903041,684.5366255,936,454,0.31115623
471,2015,NL,PHI,PHI,E,5,162,81,63,99,N,N,N,N,626,5529,1374,272,37,130,387,1274,88,32,54,29,809,749,4.69,1,7,35,4309,1592,191,488,1153,117,145,0.981,Philadelphia Phillies,Citizens Bank Park,1831080,98,98,PHI,PHI,PHI,111693000,586,119,20,2110,0.381624164,0.302550425,0.684174589,1.448131817,0.29947039,628.0780933,935,367,0.301495233
